model,dataset,split,roc_auc,f1_anomaly,precision,recall,macro_f1,threshold
mlp,elliptic,test,0.8208,0.6154,0.7921,0.5031,0.7983,0.7684
mlp,elliptic,val,0.9776,0.8702,0.9118,0.8322,0.9296,0.7684
gcn,elliptic,test,0.8182,0.428,0.6558,0.3176,0.7014,0.7654
gcn,elliptic,val,0.9301,0.6667,0.7244,0.6174,0.8197,0.7654
sage,elliptic,test,0.8571,0.6113,0.7786,0.5031,0.7961,0.8772
sage,elliptic,val,0.9814,0.8538,0.8946,0.8166,0.9207,0.8772
gat,elliptic,test,0.8362,0.3541,0.2934,0.4465,0.6521,0.9243
gat,elliptic,val,0.9446,0.6297,0.602,0.66,0.7975,0.9243
h2gcn,elliptic,test,0.8911,0.5893,0.8785,0.4434,0.7855,0.9057
h2gcn,elliptic,val,0.9869,0.8502,0.9239,0.7875,0.919,0.9057
linkx,elliptic,test,0.8503,0.6064,0.8754,0.4638,0.7942,0.8748
linkx,elliptic,val,0.9802,0.8623,0.937,0.7987,0.9255,0.8748
tgn,elliptic,test,0.8892,0.5726,0.6327,0.523,0.7787,0.9656
tgn,elliptic,val,0.9848,0.8241,0.8506,0.7991,0.9073,0.9656
mlp,yelp,test,0.8663,0.5621,0.5223,0.6084,0.7402,0.6784
mlp,yelp,val,0.866,0.5615,0.516,0.6157,0.7392,0.6784
gcn,yelp,test,0.4756,0.1951,0.1359,0.3452,0.4582,0.5941
gcn,yelp,val,0.578,0.2713,0.1887,0.4824,0.5087,0.5941
sage,yelp,test,0.8704,0.5574,0.534,0.5829,0.739,0.658
sage,yelp,val,0.8738,0.5647,0.5333,0.6,0.7426,0.658
gat,yelp,test,0.7915,0.4409,0.3577,0.5743,0.6552,0.5956
gat,yelp,val,0.7975,0.4561,0.3646,0.609,0.6626,0.5956
h2gcn,yelp,test,0.8634,0.5472,0.5219,0.5751,0.7328,0.6579
h2gcn,yelp,val,0.8682,0.5576,0.5266,0.5925,0.7384,0.6579
tgn,elliptic,test,0.8817,0.4925,0.4548,0.537,0.7354,0.931
tgn,elliptic,val,0.9817,0.7974,0.7843,0.8109,0.8929,0.931
tgn,elliptic,test,0.9067,0.6282,0.7865,0.5229,0.8084,0.9953
tgn,elliptic,val,0.9861,0.8554,0.9258,0.795,0.924,0.9953
tgn,elliptic,test,0.9089,0.5955,0.6778,0.531,0.7911,0.9937
tgn,elliptic,val,0.986,0.832,0.852,0.813,0.9115,0.9937
tgn,elliptic,test,0.9043,0.5878,0.6235,0.5559,0.7868,0.9471
tgn,elliptic,val,0.9868,0.8465,0.8681,0.8259,0.9191,0.9471
