dataset,model,feature_setting,feature_selector,topk,test_accuracy_mean,test_accuracy_std,count
chameleon,h2gcn,full,,,0.38011695906432746,0.0012661190113807581,3
chameleon,h2gcn,none,,,0.41885964912280693,0.007906910691806966,3
chameleon,h2gcn,random,,,0.22807017543859642,0.022895409010768794,3
chameleon,h2gcn,topk,correlation,16.0,0.33845029239766083,0.006699672068648931,3
chameleon,h2gcn,topk,correlation,64.0,0.40277777777777773,0.0025322380227615206,3
chameleon,h2gcn,topk,correlation,256.0,0.41154970760233917,0.022825285081865522,3
chameleon,h2gcn,topk,random_forest,16.0,0.35745614035087714,0.013695171049119272,3
chameleon,h2gcn,topk,random_forest,64.0,0.35818713450292394,0.016604995163158682,3
chameleon,h2gcn,topk,random_forest,256.0,0.4057017543859649,0.03804682362477515,3
chameleon,h2gcn,topk,variance,16.0,0.37207602339181284,0.0025322380227615206,3
chameleon,h2gcn,topk,variance,64.0,0.3874269005847953,0.004565057016373122,3
chameleon,h2gcn,topk,variance,256.0,0.35745614035087714,0.025854881847700815,3
cora,h2gcn,full,,,0.763,0.016370705543744916,3
cora,h2gcn,none,,,0.15333333333333332,0.024006943440041107,3
cora,h2gcn,random,,,0.13999999999999999,0.03340658617698015,3
cora,h2gcn,topk,correlation,16.0,0.753,0.0040000000000000036,3
cora,h2gcn,topk,correlation,64.0,0.7476666666666666,0.007023769168568484,3
cora,h2gcn,topk,correlation,256.0,0.7386666666666667,0.003785938897200172,3
cora,h2gcn,topk,random_forest,16.0,0.7563333333333334,0.0005773502691896423,3
cora,h2gcn,topk,random_forest,64.0,0.737,0.008888194417315566,3
cora,h2gcn,topk,random_forest,256.0,0.7483333333333334,0.01644181660685142,3
cora,h2gcn,topk,variance,16.0,0.629,0.01646207763315436,3
cora,h2gcn,topk,variance,64.0,0.6960000000000001,0.011789826122551555,3
cora,h2gcn,topk,variance,256.0,0.755,0.025709920264364906,3
texas,h2gcn,full,,,0.7747747747747749,0.015604061329449298,3
texas,h2gcn,none,,,0.6486486486486487,0.08108108108108107,3
texas,h2gcn,random,,,0.6486486486486487,0.027027027027027056,3
texas,h2gcn,topk,correlation,16.0,0.7837837837837838,0.027027027027027056,3
texas,h2gcn,topk,correlation,64.0,0.7477477477477477,0.031208122658898683,3
texas,h2gcn,topk,correlation,256.0,0.7747747747747749,0.015604061329449321,3
texas,h2gcn,topk,random_forest,16.0,0.7297297297297298,0.07150679219093486,3
texas,h2gcn,topk,random_forest,64.0,0.8018018018018017,0.015604061329449345,3
texas,h2gcn,topk,random_forest,256.0,0.7027027027027026,0.07150679219093488,3
texas,h2gcn,topk,variance,16.0,0.7387387387387387,0.015604061329449378,3
texas,h2gcn,topk,variance,64.0,0.7567567567567567,0.027027027027027056,3
texas,h2gcn,topk,variance,256.0,0.8378378378378378,0.0,3
citeseer,H2GCN,full,,,0.622,0.02523885892824798,3
citeseer,H2GCN,none,,,0.15866666666666665,0.026539279065817382,3
citeseer,H2GCN,random,,,0.19533333333333333,0.01890326250501044,3
citeseer,H2GCN,topk,correlation,16.0,0.6406666666666667,0.01750238079043342,3
citeseer,H2GCN,topk,correlation,64.0,0.6123333333333333,0.012423096769056167,3
citeseer,H2GCN,topk,correlation,256.0,0.5926666666666667,0.04562163229580168,3
citeseer,H2GCN,topk,random_forest,16.0,0.6403333333333333,0.024704925284917075,3
citeseer,H2GCN,topk,random_forest,64.0,0.6266666666666666,0.033842773723992164,3
citeseer,H2GCN,topk,random_forest,256.0,0.617,0.026514147167125728,3
citeseer,H2GCN,topk,variance,16.0,0.39333333333333337,0.008020806277010644,3
citeseer,H2GCN,topk,variance,64.0,0.634,0.011532562594670807,3
citeseer,H2GCN,topk,variance,256.0,0.6023333333333333,0.019399312702602006,3
pubmed,H2GCN,full,,,0.7336666666666667,0.02973774257292125,3
pubmed,H2GCN,none,,,0.377,0.04938623289946297,3
pubmed,H2GCN,random,,,0.34833333333333333,0.051539628765963526,3
pubmed,H2GCN,topk,correlation,16.0,0.588,0.024758836806279837,3
pubmed,H2GCN,topk,correlation,64.0,0.7403333333333334,0.024946609656090243,3
pubmed,H2GCN,topk,correlation,256.0,0.737,0.008544003745317538,3
pubmed,H2GCN,topk,random_forest,16.0,0.5786666666666667,0.041968241961432395,3
pubmed,H2GCN,topk,random_forest,64.0,0.7513333333333333,0.02081665999466135,3
pubmed,H2GCN,topk,random_forest,256.0,0.7503333333333333,0.010214368964029753,3
pubmed,H2GCN,topk,variance,16.0,0.6336666666666667,0.058449408323210036,3
pubmed,H2GCN,topk,variance,64.0,0.733,0.015716233645501725,3
pubmed,H2GCN,topk,variance,256.0,0.7316666666666666,0.01563116545025784,3
cornell,H2GCN,full,,,0.7747747747747749,0.05626124322881444,3
cornell,H2GCN,none,,,0.38738738738738737,0.031208122658898687,3
cornell,H2GCN,random,,,0.40540540540540543,0.0,3
cornell,H2GCN,topk,correlation,16.0,0.5945945945945946,0.027027027027027042,3
cornell,H2GCN,topk,correlation,64.0,0.7387387387387387,0.04128446572032286,3
cornell,H2GCN,topk,correlation,256.0,0.7657657657657658,0.015604061329449321,3
cornell,H2GCN,topk,random_forest,16.0,0.7297297297297298,0.027027027027027,3
cornell,H2GCN,topk,random_forest,64.0,0.7297297297297298,0.027027027027027,3
cornell,H2GCN,topk,random_forest,256.0,0.7657657657657658,0.015604061329449321,3
cornell,H2GCN,topk,variance,16.0,0.6666666666666666,0.015604061329449321,3
cornell,H2GCN,topk,variance,64.0,0.7837837837837838,0.04681218398834805,3
cornell,H2GCN,topk,variance,256.0,0.7387387387387387,0.015604061329449345,3
wisconsin,H2GCN,full,,,0.823529411764706,0.05187747668754097,3
wisconsin,H2GCN,none,,,0.5555555555555556,0.029951475130430328,3
wisconsin,H2GCN,random,,,0.5098039215686274,0.03921568627450987,3
wisconsin,H2GCN,topk,correlation,16.0,0.7254901960784315,0.0196078431372549,3
wisconsin,H2GCN,topk,correlation,64.0,0.869281045751634,0.011320593513522034,3
wisconsin,H2GCN,topk,correlation,256.0,0.8366013071895425,0.022641187027044204,3
wisconsin,H2GCN,topk,random_forest,16.0,0.7777777777777778,0.07423409602353301,3
wisconsin,H2GCN,topk,random_forest,64.0,0.8496732026143791,0.040816980381688864,3
wisconsin,H2GCN,topk,random_forest,256.0,0.8562091503267975,0.011320593513522059,3
wisconsin,H2GCN,topk,variance,16.0,0.7058823529411765,0.01960784313725486,3
wisconsin,H2GCN,topk,variance,64.0,0.7908496732026143,0.05990295026086065,3
wisconsin,H2GCN,topk,variance,256.0,0.888888888888889,0.01132059351352217,3
