dataset,model,feature_setting,feature_selector,topk,test_accuracy_mean,test_accuracy_std,count
cornell,LINKX,full,,,0.45945945945945943,0.0715067921909349,3
cornell,LINKX,none,,,0.40540540540540543,0.0,3
cornell,LINKX,random,,,0.39639639639639634,0.01560406132944931,3
cornell,LINKX,topk,correlation,16.0,0.6126126126126126,0.04128446572032291,3
cornell,LINKX,topk,correlation,64.0,0.7027027027027026,0.027027027027027056,3
cornell,LINKX,topk,correlation,256.0,0.6846846846846847,0.13869193079586176,3
cornell,LINKX,topk,random_forest,16.0,0.6396396396396397,0.01560406132944941,3
cornell,LINKX,topk,random_forest,64.0,0.7567567567567567,0.05405405405405406,3
cornell,LINKX,topk,random_forest,256.0,0.6486486486486487,0.14043655196504415,3
cornell,LINKX,topk,variance,16.0,0.5225225225225225,0.015604061329449394,3
cornell,LINKX,topk,variance,64.0,0.49549549549549554,0.04128446572032287,3
cornell,LINKX,topk,variance,256.0,0.7027027027027026,0.16439898730535732,3
wisconsin,LINKX,full,,,0.562091503267974,0.02264118702704415,3
wisconsin,LINKX,none,,,0.5294117647058824,0.019607843137254943,3
wisconsin,LINKX,random,,,0.5032679738562091,0.040816980381688926,3
wisconsin,LINKX,topk,correlation,16.0,0.6405228758169935,0.011320593513522145,3
wisconsin,LINKX,topk,correlation,64.0,0.6274509803921569,0.0,3
wisconsin,LINKX,topk,correlation,256.0,0.5882352941176471,0.033961780540566165,3
wisconsin,LINKX,topk,random_forest,16.0,0.6405228758169934,0.022641187027044093,3
wisconsin,LINKX,topk,random_forest,64.0,0.6078431372549019,0.0,3
wisconsin,LINKX,topk,random_forest,256.0,0.5751633986928105,0.040816980381688864,3
wisconsin,LINKX,topk,variance,16.0,0.6013071895424836,0.02264118702704418,3
wisconsin,LINKX,topk,variance,64.0,0.5882352941176471,0.033961780540566214,3
wisconsin,LINKX,topk,variance,256.0,0.5620915032679737,0.049345323106344784,3
pubmed,LINKX,full,,,0.585,0.05631163290120437,3
pubmed,LINKX,none,,,0.35833333333333334,0.036555893277737485,3
pubmed,LINKX,random,,,0.36200000000000004,0.0183575597506858,3
pubmed,LINKX,topk,correlation,16.0,0.42333333333333334,0.08962328566468278,3
pubmed,LINKX,topk,correlation,64.0,0.527,0.0208086520466848,3
pubmed,LINKX,topk,correlation,256.0,0.6363333333333333,0.048850110883531646,3
pubmed,LINKX,topk,random_forest,16.0,0.5013333333333333,0.08685812186165055,3
pubmed,LINKX,topk,random_forest,64.0,0.5196666666666666,0.1100378722682938,3
pubmed,LINKX,topk,random_forest,256.0,0.685,0.02253885533916923,3
pubmed,LINKX,topk,variance,16.0,0.4663333333333333,0.08845526176171392,3
pubmed,LINKX,topk,variance,64.0,0.5396666666666666,0.030615900008546717,3
pubmed,LINKX,topk,variance,256.0,0.668,0.03244996147917587,3
texas,LINKX,full,,,0.6486486486486487,0.0,3
texas,LINKX,none,,,0.6666666666666666,0.031208122658898677,3
texas,LINKX,random,,,0.5945945945945946,0.07150679219093489,3
texas,LINKX,topk,correlation,16.0,0.6756756756756758,0.027027027027027042,3
texas,LINKX,topk,correlation,64.0,0.7027027027027026,0.04681218398834808,3
texas,LINKX,topk,correlation,256.0,0.6396396396396397,0.01560406132944941,3
texas,LINKX,topk,random_forest,16.0,0.6846846846846848,0.031208122658898732,3
texas,LINKX,topk,random_forest,64.0,0.6846846846846848,0.031208122658898732,3
texas,LINKX,topk,random_forest,256.0,0.6936936936936937,0.015604061329449345,3
texas,LINKX,topk,variance,16.0,0.6486486486486487,0.0,3
texas,LINKX,topk,variance,64.0,0.6576576576576577,0.015604061329449321,3
texas,LINKX,topk,variance,256.0,0.6666666666666666,0.015604061329449321,3
citeseer,LINKX,full,,,0.3053333333333333,0.005507570547286103,3
citeseer,LINKX,none,,,0.18100000000000002,0.024331050121192868,3
citeseer,LINKX,random,,,0.17400000000000002,0.01852025917745213,3
citeseer,LINKX,topk,correlation,16.0,0.5586666666666668,0.021385353243127233,3
citeseer,LINKX,topk,correlation,64.0,0.5043333333333333,0.056216842078983136,3
citeseer,LINKX,topk,correlation,256.0,0.428,0.06436614016701639,3
citeseer,LINKX,topk,random_forest,16.0,0.5736666666666667,0.024583192089989683,3
citeseer,LINKX,topk,random_forest,64.0,0.49,0.01808314132002514,3
citeseer,LINKX,topk,random_forest,256.0,0.412,0.08080222769206305,3
citeseer,LINKX,topk,variance,16.0,0.34366666666666673,0.02454248017893328,3
citeseer,LINKX,topk,variance,64.0,0.3753333333333333,0.05947548514584254,3
citeseer,LINKX,topk,variance,256.0,0.371,0.057297469403107155,3
cora,LINKX,full,,,0.5703333333333334,0.04392417709341098,3
cora,LINKX,none,,,0.17,0.044034077712608,3
cora,LINKX,random,,,0.206,0.06564297372910523,3
cora,LINKX,topk,correlation,16.0,0.5813333333333334,0.03126233090051564,3
cora,LINKX,topk,correlation,64.0,0.6143333333333333,0.0015275252316519843,3
cora,LINKX,topk,correlation,256.0,0.5573333333333333,0.03951371070063313,3
cora,LINKX,topk,random_forest,16.0,0.611,0.008544003745317566,3
cora,LINKX,topk,random_forest,64.0,0.5906666666666666,0.022898325994127427,3
cora,LINKX,topk,random_forest,256.0,0.568,0.04877499359302883,3
cora,LINKX,topk,variance,16.0,0.5539999999999999,0.044530888156424614,3
cora,LINKX,topk,variance,64.0,0.5543333333333333,0.05807179464536405,3
cora,LINKX,topk,variance,256.0,0.5423333333333333,0.04772141378179536,3
