dataset,model,feature_setting,feature_selector,topk,test_accuracy_mean,test_accuracy_std,count
cora,gcn,full,,,0.815,0.0010000000000000009,3
cora,gcn,none,,,0.2806666666666667,0.027934447074057723,3
cora,gcn,random,,,0.49533333333333335,0.017387735140993323,3
cora,gcn,topk,correlation,16.0,0.7343333333333333,0.004932882862316242,3
cora,gcn,topk,correlation,64.0,0.7503333333333333,0.007023769168568484,3
cora,gcn,topk,correlation,256.0,0.783,0.001732050807568911,3
cora,gcn,topk,random_forest,16.0,0.7246666666666667,0.007094598884597587,3
cora,gcn,topk,random_forest,64.0,0.7516666666666666,0.004041451884327344,3
cora,gcn,topk,random_forest,256.0,0.786,0.010000000000000009,3
cora,gcn,topk,variance,16.0,0.595,0.0010000000000000009,3
cora,gcn,topk,variance,64.0,0.7516666666666666,0.0015275252316519147,3
cora,gcn,topk,variance,256.0,0.7856666666666667,0.0037859388972001956,3
citeseer,gcn,full,,,0.7166666666666667,0.001527525231651948,3
citeseer,gcn,none,,,0.19233333333333333,0.013868429375143147,3
citeseer,gcn,random,,,0.27799999999999997,0.033286633954186476,3
citeseer,gcn,topk,correlation,16,0.6583333333333333,0.0035118845842842497,3
citeseer,gcn,topk,correlation,64,0.6709999999999999,0.006244997998398403,3
citeseer,gcn,topk,correlation,256,0.6890000000000001,0.005567764362829967,3
citeseer,gcn,topk,random_forest,16,0.6533333333333333,0.008621678104251716,3
citeseer,gcn,topk,random_forest,64,0.674,0.007549834435270757,3
citeseer,gcn,topk,random_forest,256,0.6880000000000001,0.004582575694955783,3
citeseer,gcn,topk,variance,16,0.4506666666666667,0.005131601439446888,3
citeseer,gcn,topk,variance,64,0.651,0.004358898943540678,3
citeseer,gcn,topk,variance,256,0.6956666666666665,0.0035118845842842493,3
pubmed,gcn,full,,,0.7973333333333334,0.003055050463303896,3
pubmed,gcn,none,,,0.3626666666666667,0.00838649708360609,3
pubmed,gcn,random,,,0.37566666666666665,0.01817507450695413,3
pubmed,gcn,topk,correlation,16,0.703,0.006000000000000005,3
pubmed,gcn,topk,correlation,64,0.7906666666666666,0.0020816659994661348,3
pubmed,gcn,topk,correlation,256,0.7826666666666666,0.0025166114784235852,3
pubmed,gcn,topk,random_forest,16,0.754,0.014798648586948755,3
pubmed,gcn,topk,random_forest,64,0.8013333333333333,0.00838649708360609,3
pubmed,gcn,topk,random_forest,256,0.7966666666666667,0.009504384952922176,3
pubmed,gcn,topk,variance,16,0.666,0.002645751311064593,3
pubmed,gcn,topk,variance,64,0.7643333333333334,0.001527525231651948,3
pubmed,gcn,topk,variance,256,0.7983333333333333,0.0025166114784235852,3
actor,gcn,full,,,0.28883333333333333,0.004338586559391584,3
actor,gcn,none,,,0.24166666666666667,0.011541808061709104,3
actor,gcn,random,,,0.22719999999999999,0.018644302078651274,3
actor,gcn,topk,correlation,16,0.28509999999999996,0.001345362404707361,3
actor,gcn,topk,correlation,64,0.2780666666666667,0.002956912804485992,3
actor,gcn,topk,correlation,256,0.29123333333333334,0.0032715949219506617,3
actor,gcn,topk,random_forest,16,0.2912,0.0010148891565092196,3
actor,gcn,topk,random_forest,64,0.2866,0.00497895571380186,3
