dataset,model,feature_setting,feature_selector,topk,test_accuracy_mean,test_accuracy_std,count
citeseer,graphsage,full,,,0.7173333333333334,0.007094598884597594,3
citeseer,graphsage,none,,,0.164,0.016822603841260726,3
citeseer,graphsage,random,,,0.2643333333333333,0.015373136743466922,3
citeseer,graphsage,topk,correlation,16,0.664,0.004582575694955844,3
citeseer,graphsage,topk,correlation,64,0.6683333333333333,0.004041451884327384,3
citeseer,graphsage,topk,correlation,256,0.6869999999999999,0.0036055512754639306,3
citeseer,graphsage,topk,random_forest,16,0.6506666666666666,0.018502252115170575,3
citeseer,graphsage,topk,random_forest,64,0.6613333333333333,0.006506407098647717,3
citeseer,graphsage,topk,random_forest,256,0.6763333333333333,0.005686240703077332,3
citeseer,graphsage,topk,variance,16,0.4046666666666667,0.006658328118479367,3
citeseer,graphsage,topk,variance,64,0.6466666666666666,0.0045092497528228985,3
citeseer,graphsage,topk,variance,256,0.6843333333333333,0.004041451884327333,3
cora,graphsage,full,,,0.798,0.0020000000000000018,3
cora,graphsage,none,,,0.21733333333333335,0.03787259343289463,3
cora,graphsage,random,,,0.43166666666666664,0.023501772982763118,3
cora,graphsage,topk,correlation,16,0.7126666666666667,0.004163331998932269,3
cora,graphsage,topk,correlation,64,0.7086666666666667,0.004041451884327384,3
cora,graphsage,topk,correlation,256,0.7676666666666666,0.006658328118479399,3
cora,graphsage,topk,random_forest,16,0.7123333333333334,0.0020816659994661348,3
cora,graphsage,topk,random_forest,64,0.7186666666666666,0.006027713773341714,3
cora,graphsage,topk,random_forest,256,0.763,0.008000000000000007,3
cora,graphsage,topk,variance,16,0.541,0.010816653826391976,3
cora,graphsage,topk,variance,64,0.7023333333333333,0.006027713773341713,3
cora,graphsage,topk,variance,256,0.767,0.001732050807568879,3
cornell,graphsage,full,,,0.7837999999999999,0.02699999999999997,3
cornell,graphsage,none,,,0.42343333333333333,0.06799487725802093,3
cornell,graphsage,random,,,0.42343333333333333,0.16290034786130242,3
cornell,graphsage,topk,correlation,16,0.6305999999999999,0.031176914536239754,3
cornell,graphsage,topk,correlation,64,0.8198,0.01558845726811991,3
cornell,graphsage,topk,correlation,256,0.8018000000000001,0.015588457268119846,3
cornell,graphsage,topk,random_forest,16,0.7207333333333333,0.031234649563158776,3
cornell,graphsage,topk,random_forest,64,0.8198333333333334,0.04129774005116178,3
cornell,graphsage,topk,random_forest,256,0.8108,0.02699999999999997,3
cornell,graphsage,topk,variance,16,0.6937000000000001,0.01558845726811991,3
cornell,graphsage,topk,variance,64,0.8198,0.01558845726811991,3
cornell,graphsage,topk,variance,256,0.8198,0.01558845726811991,3
pubmed,graphsage,full,,,0.7693333333333333,0.0023094010767585054,3
pubmed,graphsage,none,,,0.35533333333333333,0.015947831618540898,3
pubmed,graphsage,random,,,0.35333333333333333,0.02627419519858473,3
pubmed,graphsage,topk,correlation,16,0.702,0.006557438524302007,3
pubmed,graphsage,topk,correlation,64,0.7563333333333334,0.003055050463303896,3
pubmed,graphsage,topk,correlation,256,0.7656666666666667,0.0020816659994661343,3
pubmed,graphsage,topk,random_forest,16,0.7133333333333334,0.026633312473917533,3
pubmed,graphsage,topk,random_forest,64,0.7696666666666667,0.009291573243177578,3
pubmed,graphsage,topk,random_forest,256,0.7573333333333334,0.010598742063723106,3
pubmed,graphsage,topk,variance,16,0.6643333333333333,0.0032145502536643214,3
pubmed,graphsage,topk,variance,64,0.7333333333333334,0.001527525231651948,3
pubmed,graphsage,topk,variance,256,0.769,0.007211102550927985,3
texas,graphsage,full,,,0.7748,0.01558845726811991,3
texas,graphsage,none,,,0.6486,0.0,3
texas,graphsage,random,,,0.6666666666666666,0.015646192295038865,3
texas,graphsage,topk,correlation,16,0.6937000000000001,0.03117691453623982,3
texas,graphsage,topk,correlation,64,0.7297333333333333,0.04682310683127868,3
texas,graphsage,topk,correlation,256,0.8018000000000001,0.015588457268119846,3
texas,graphsage,topk,random_forest,16,0.7117,0.09492054572114508,3
texas,graphsage,topk,random_forest,64,0.7837999999999999,0.02699999999999997,3
texas,graphsage,topk,random_forest,256,0.8108,0.0,3
texas,graphsage,topk,variance,16,0.8018000000000001,0.015588457268119846,3
texas,graphsage,topk,variance,64,0.8649,0.0,3
texas,graphsage,topk,variance,256,0.8378,0.0,3
wisconsin,graphsage,full,,,0.8300333333333333,0.029939494540378187,3
wisconsin,graphsage,none,,,0.5032666666666666,0.011316065276116668,3
wisconsin,graphsage,random,,,0.4902,0.051856725696865995,3
wisconsin,graphsage,topk,correlation,16,0.7581666666666668,0.029939494540378142,3
wisconsin,graphsage,topk,correlation,64,0.8235,0.0,3
wisconsin,graphsage,topk,correlation,256,0.8169666666666666,0.011316065276116699,3
wisconsin,graphsage,topk,random_forest,16,0.8170000000000001,0.06888040359928213,3
wisconsin,graphsage,topk,random_forest,64,0.8496666666666667,0.02999405496649848,3
wisconsin,graphsage,topk,random_forest,256,0.8235,0.019600000000000006,3
wisconsin,graphsage,topk,variance,16,0.7320333333333333,0.022632130552233336,3
wisconsin,graphsage,topk,variance,64,0.8235,0.0,3
wisconsin,graphsage,topk,variance,256,0.8431000000000001,1.3597399555105182e-16,3
actor,graphsage,full,,,0.36710526315789477,0.0034812517250849303,3
actor,graphsage,none,,,0.24539473684210522,0.009044557292675988,3
actor,graphsage,random,,,0.24188596491228065,0.027334978724432676,3
actor,graphsage,topk,correlation,16.0,0.29517543859649126,0.004478196898390843,3
actor,graphsage,topk,correlation,64.0,0.3214912280701754,0.003245317672576483,3
actor,graphsage,topk,correlation,256.0,0.34451754385964906,0.0013695171049119426,3
actor,graphsage,topk,random_forest,16.0,0.2951754385964912,0.001655665446331321,3
actor,graphsage,topk,random_forest,64.0,0.3274122807017544,0.005672156647534032,3
actor,graphsage,topk,random_forest,256.0,0.34714912280701754,0.00231045038439754,3
actor,graphsage,topk,variance,16.0,0.2870614035087719,0.005969586661761481,3
actor,graphsage,topk,variance,64.0,0.3206140350877193,0.004229671386400448,3
actor,graphsage,topk,variance,256.0,0.3462719298245614,0.006719979581598508,3

