dataset,model,feature_setting,feature_selector,topk,test_accuracy_mean,test_accuracy_std,count,full_mean,delta_vs_full_test_accuracy
citeseer,LINKX,full,,,0.3053333333333333,0.005507570547286103,3,0.3053333333333333,0.0
citeseer,LINKX,none,,,0.18100000000000002,0.024331050121192868,3,0.3053333333333333,-0.12433333333333327
citeseer,LINKX,random,,,0.17400000000000002,0.01852025917745213,3,0.3053333333333333,-0.13133333333333327
citeseer,LINKX,topk,correlation,16.0,0.5586666666666668,0.021385353243127233,3,0.3053333333333333,0.25333333333333347
citeseer,LINKX,topk,correlation,64.0,0.5043333333333333,0.056216842078983136,3,0.3053333333333333,0.199
citeseer,LINKX,topk,correlation,256.0,0.428,0.06436614016701639,3,0.3053333333333333,0.1226666666666667
citeseer,LINKX,topk,random_forest,16.0,0.5736666666666667,0.024583192089989683,3,0.3053333333333333,0.26833333333333337
citeseer,LINKX,topk,random_forest,64.0,0.49,0.01808314132002514,3,0.3053333333333333,0.1846666666666667
citeseer,LINKX,topk,random_forest,256.0,0.412,0.08080222769206305,3,0.3053333333333333,0.10666666666666669
citeseer,LINKX,topk,variance,16.0,0.34366666666666673,0.02454248017893328,3,0.3053333333333333,0.03833333333333344
citeseer,LINKX,topk,variance,64.0,0.3753333333333333,0.05947548514584254,3,0.3053333333333333,0.07
citeseer,LINKX,topk,variance,256.0,0.371,0.057297469403107155,3,0.3053333333333333,0.0656666666666667
cora,LINKX,full,,,0.5703333333333334,0.04392417709341098,3,0.5703333333333334,0.0
cora,LINKX,none,,,0.17,0.044034077712608,3,0.5703333333333334,-0.4003333333333333
cora,LINKX,random,,,0.206,0.06564297372910523,3,0.5703333333333334,-0.3643333333333334
cora,LINKX,topk,correlation,16.0,0.5813333333333334,0.03126233090051564,3,0.5703333333333334,0.01100000000000001
cora,LINKX,topk,correlation,64.0,0.6143333333333333,0.0015275252316519843,3,0.5703333333333334,0.04399999999999993
cora,LINKX,topk,correlation,256.0,0.5573333333333333,0.03951371070063313,3,0.5703333333333334,-0.013000000000000012
cora,LINKX,topk,random_forest,16.0,0.611,0.008544003745317566,3,0.5703333333333334,0.04066666666666663
cora,LINKX,topk,random_forest,64.0,0.5906666666666666,0.022898325994127427,3,0.5703333333333334,0.020333333333333203
cora,LINKX,topk,random_forest,256.0,0.568,0.04877499359302883,3,0.5703333333333334,-0.0023333333333334094
cora,LINKX,topk,variance,16.0,0.5539999999999999,0.044530888156424614,3,0.5703333333333334,-0.016333333333333422
cora,LINKX,topk,variance,64.0,0.5543333333333333,0.05807179464536405,3,0.5703333333333334,-0.016000000000000014
cora,LINKX,topk,variance,256.0,0.5423333333333333,0.04772141378179536,3,0.5703333333333334,-0.028000000000000025
