dataset,model,feature_setting,feature_selector,topk,test_accuracy_mean,test_accuracy_std,count
citeseer,gat,full,,,0.7033333333333333,0.002081665999466137,3
citeseer,gat,none,,,0.20966666666666667,0.01266227994214838,3
citeseer,gat,random,,,0.22233333333333336,0.02052640575778753,3
citeseer,gat,topk,correlation,16.0,0.6453333333333333,0.00945163125250522,3
citeseer,gat,topk,correlation,64.0,0.6623333333333333,0.007571877794400362,3
citeseer,gat,topk,correlation,256.0,0.6913333333333332,0.005859465277082331,3
citeseer,gat,topk,random_forest,16.0,0.6456666666666667,0.006658328118479449,3
citeseer,gat,topk,random_forest,64.0,0.6743333333333333,0.010066445913694357,3
citeseer,gat,topk,random_forest,256.0,0.6913333333333332,0.009451631252505192,3
citeseer,gat,topk,variance,16.0,0.4766666666666666,0.017214335111567135,3
citeseer,gat,topk,variance,64.0,0.6706666666666666,0.015373136743466947,3
citeseer,gat,topk,variance,256.0,0.6960000000000001,0.018357559750685808,3
cora,gat,full,,,0.8273333333333333,0.0032145502536643153,3
cora,gat,none,,,0.47433333333333333,0.03585154575932999,3
cora,gat,random,,,0.35433333333333333,0.08540686935682243,3
cora,gat,topk,correlation,16.0,0.7533333333333333,0.013316656236958794,3
cora,gat,topk,correlation,64.0,0.7680000000000001,0.0026457513110646033,3
cora,gat,topk,correlation,256.0,0.8023333333333333,0.009814954576223599,3
cora,gat,topk,random_forest,16.0,0.7426666666666666,0.007023769168568484,3
cora,gat,topk,random_forest,64.0,0.7706666666666667,0.008504900548115417,3
cora,gat,topk,random_forest,256.0,0.8073333333333333,0.008326663997864516,3
cora,gat,topk,variance,16.0,0.6156666666666667,0.013428824718989174,3
cora,gat,topk,variance,64.0,0.7716666666666666,0.006027713773341691,3
cora,gat,topk,variance,256.0,0.8066666666666666,0.0032145502536642797,3
dataset,model,feature_setting,feature_selector,topk,test_accuracy_mean,test_accuracy_std,count
citeseer,gat,full,,,0.7033333333333333,0.002081665999466137,3
citeseer,gat,none,,,0.20966666666666667,0.01266227994214838,3
citeseer,gat,random,,,0.22233333333333336,0.02052640575778753,3
citeseer,gat,topk,correlation,16.0,0.6453333333333333,0.00945163125250522,3
citeseer,gat,topk,correlation,64.0,0.6623333333333333,0.007571877794400362,3
citeseer,gat,topk,correlation,256.0,0.6913333333333332,0.005859465277082331,3
citeseer,gat,topk,random_forest,16.0,0.6456666666666667,0.006658328118479449,3
citeseer,gat,topk,random_forest,64.0,0.6743333333333333,0.010066445913694357,3
citeseer,gat,topk,random_forest,256.0,0.6913333333333332,0.009451631252505192,3
citeseer,gat,topk,variance,16.0,0.4766666666666666,0.017214335111567135,3
citeseer,gat,topk,variance,64.0,0.6706666666666666,0.015373136743466947,3
citeseer,gat,topk,variance,256.0,0.6960000000000001,0.018357559750685808,3
dataset,model,feature_setting,feature_selector,topk,test_accuracy_mean,test_accuracy_std,count
texas,gat,full,,,0.6756756756756758,0.04681218398834808,3
texas,gat,none,,,0.4684684684684684,0.2915079222948367,3
texas,gat,random,,,0.37837837837837834,0.21108782907855828,3
texas,gat,topk,correlation,16.0,0.6036036036036037,0.015604061329449321,3
texas,gat,topk,correlation,64.0,0.6036036036036037,0.04128446572032291,3
texas,gat,topk,correlation,256.0,0.6666666666666666,0.015604061329449321,3
texas,gat,topk,random_forest,16.0,0.6036036036036037,0.015604061329449321,3
texas,gat,topk,random_forest,64.0,0.5855855855855856,0.015604061329449345,3
texas,gat,topk,random_forest,256.0,0.6216216216216216,0.05405405405405406,3
texas,gat,topk,variance,16.0,0.6306306306306306,0.015604061329449394,3
texas,gat,topk,variance,64.0,0.6936936936936937,0.041284465720322884,3
texas,gat,topk,variance,256.0,0.6666666666666666,0.04128446572032296,3
wisconsin,gat,full,,,0.5620915032679739,0.011320593513522034,3
wisconsin,gat,none,,,0.41176470588235287,0.08985442539129092,3
wisconsin,gat,random,,,0.41176470588235287,0.051877476687541,3
wisconsin,gat,topk,correlation,16.0,0.5620915032679739,0.011320593513522034,3
wisconsin,gat,topk,correlation,64.0,0.5424836601307189,0.02264118702704418,3
wisconsin,gat,topk,correlation,256.0,0.5620915032679739,0.011320593513522034,3
wisconsin,gat,topk,random_forest,16.0,0.5490196078431372,0.019607843137254846,3
wisconsin,gat,topk,random_forest,64.0,0.5686274509803922,0.033961780540566214,3
wisconsin,gat,topk,random_forest,256.0,0.5751633986928105,0.011320593513522059,3
wisconsin,gat,topk,variance,16.0,0.5359477124183006,0.011320593513522145,3
wisconsin,gat,topk,variance,64.0,0.5686274509803922,0.019607843137254846,3
wisconsin,gat,topk,variance,256.0,0.5490196078431372,0.0196078431372549,3
cornell,gat,full,,,0.4144144144144144,0.031208122658898677,3
cornell,gat,none,,,0.2972972972972973,0.0,3
cornell,gat,random,,,0.32432432432432434,0.054054054054054085,3
cornell,gat,topk,correlation,16.0,0.5045045045045046,0.031208122658898677,3
cornell,gat,topk,correlation,64.0,0.5225225225225225,0.041284465720322884,3
cornell,gat,topk,correlation,256.0,0.44144144144144143,0.0680165264438806,3
cornell,gat,topk,random_forest,16.0,0.5045045045045046,0.015604061329449298,3
cornell,gat,topk,random_forest,64.0,0.5225225225225225,0.031208122658898645,3
cornell,gat,topk,random_forest,256.0,0.44144144144144143,0.0312081226588987,3
cornell,gat,topk,variance,16.0,0.5135135135135135,0.0,3
cornell,gat,topk,variance,64.0,0.5045045045045046,0.015604061329449321,3
cornell,gat,topk,variance,256.0,0.4774774774774775,0.031208122658898677,3
